id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,packet span,73,51,11,40,328,ship,baseline,monotonic-signal,raise-signal
m002,g002,retry pressure,98,58,10,82,496,ship,edge,drag-penalty,drop-slack
m003,g003,route drift,74,46,18,22,276,ship,recovery,confidence-floor,raise-drag
m004,g004,socket risk,66,37,34,69,305,ship,negative,lane-boundary,lower-confidence
m005,g005,packet span,118,70,5,30,474,ship,baseline,monotonic-signal,raise-signal
m006,g006,retry pressure,90,8,34,52,314,ship,edge,drag-penalty,drop-slack
m007,g007,route drift,40,31,15,67,255,ship,recovery,confidence-floor,raise-drag
m008,g008,socket risk,63,74,18,23,273,ship,negative,lane-boundary,lower-confidence
m009,g009,packet span,87,63,45,68,370,ship,baseline,monotonic-signal,raise-signal
m010,g010,retry pressure,89,49,39,89,416,ship,edge,drag-penalty,drop-slack
m011,g011,route drift,98,61,45,104,473,ship,recovery,confidence-floor,raise-drag
m012,g012,socket risk,106,64,39,60,424,ship,negative,lane-boundary,lower-confidence
m013,g013,packet span,122,68,28,62,502,ship,baseline,monotonic-signal,raise-signal
m014,g014,retry pressure,32,27,16,104,299,ship,edge,drag-penalty,drop-slack
m015,g015,route drift,39,25,39,43,150,watch,recovery,confidence-floor,raise-drag
m016,g016,socket risk,90,21,42,47,301,ship,negative,lane-boundary,lower-confidence
m017,g017,packet span,84,22,27,73,366,ship,baseline,monotonic-signal,raise-signal
m018,g018,retry pressure,115,14,42,84,443,ship,edge,drag-penalty,drop-slack
m019,g019,route drift,95,64,37,51,377,ship,recovery,confidence-floor,raise-drag
m020,g020,socket risk,44,51,5,26,225,ship,negative,lane-boundary,lower-confidence
m021,g021,packet span,75,12,36,81,327,ship,baseline,monotonic-signal,raise-signal
m022,g022,retry pressure,81,19,11,21,282,ship,edge,drag-penalty,drop-slack
m023,g023,route drift,48,76,49,81,284,ship,recovery,confidence-floor,raise-drag
m024,g024,socket risk,79,32,38,16,225,ship,negative,lane-boundary,lower-confidence
m025,g025,packet span,107,60,37,51,409,ship,baseline,monotonic-signal,raise-signal
m026,g026,retry pressure,111,53,38,66,442,ship,edge,drag-penalty,drop-slack
m027,g027,route drift,33,68,26,35,185,watch,recovery,confidence-floor,raise-drag
m028,g028,socket risk,41,38,32,54,205,ship,negative,lane-boundary,lower-confidence
m029,g029,packet span,102,25,19,88,469,ship,baseline,monotonic-signal,raise-signal
m030,g030,retry pressure,34,45,35,103,283,ship,edge,drag-penalty,drop-slack
m031,g031,route drift,96,74,52,72,402,ship,recovery,confidence-floor,raise-drag
m032,g032,socket risk,105,51,30,48,402,ship,negative,lane-boundary,lower-confidence
m033,g033,packet span,60,42,24,103,380,ship,baseline,monotonic-signal,raise-signal
m034,g034,retry pressure,115,64,23,42,447,ship,edge,drag-penalty,drop-slack
m035,g035,route drift,107,24,31,59,401,ship,recovery,confidence-floor,raise-drag
m036,g036,socket risk,62,36,13,59,314,ship,negative,lane-boundary,lower-confidence
m037,g037,packet span,52,9,43,83,245,ship,baseline,monotonic-signal,raise-signal
m038,g038,retry pressure,81,57,17,50,366,ship,edge,drag-penalty,drop-slack
m039,g039,route drift,104,65,34,38,385,ship,recovery,confidence-floor,raise-drag
m040,g040,socket risk,31,66,12,67,269,ship,negative,lane-boundary,lower-confidence
m041,g041,packet span,51,69,27,20,208,ship,baseline,monotonic-signal,raise-signal
m042,g042,retry pressure,51,62,15,80,345,ship,edge,drag-penalty,drop-slack
m043,g043,route drift,59,43,39,28,198,ship,recovery,confidence-floor,raise-drag
m044,g044,socket risk,66,30,21,37,260,ship,negative,lane-boundary,lower-confidence
m045,g045,packet span,82,26,38,65,326,ship,baseline,monotonic-signal,raise-signal
m046,g046,retry pressure,80,16,27,34,270,ship,edge,drag-penalty,drop-slack
m047,g047,route drift,43,30,30,66,231,ship,recovery,confidence-floor,raise-drag
m048,g048,socket risk,116,69,22,74,521,ship,negative,lane-boundary,lower-confidence
m049,g049,packet span,77,56,23,102,445,ship,baseline,monotonic-signal,raise-signal
m050,g050,retry pressure,48,6,4,71,284,ship,edge,drag-penalty,drop-slack
m051,g051,route drift,85,35,24,60,362,ship,recovery,confidence-floor,raise-drag
m052,g052,socket risk,107,11,4,89,502,ship,negative,lane-boundary,lower-confidence
m053,g053,packet span,43,37,20,41,208,ship,baseline,monotonic-signal,raise-signal
m054,g054,retry pressure,89,54,30,58,377,ship,edge,drag-penalty,drop-slack
m055,g055,route drift,32,69,22,71,263,ship,recovery,confidence-floor,raise-drag
m056,g056,socket risk,51,73,9,69,346,ship,negative,lane-boundary,lower-confidence
m057,g057,packet span,73,43,8,49,344,ship,baseline,monotonic-signal,raise-signal
m058,g058,retry pressure,74,19,9,37,297,ship,edge,drag-penalty,drop-slack
m059,g059,route drift,82,61,47,79,371,ship,recovery,confidence-floor,raise-drag
m060,g060,socket risk,46,9,28,92,275,ship,negative,lane-boundary,lower-confidence
m061,g061,packet span,84,56,44,79,378,ship,baseline,monotonic-signal,raise-signal
m062,g062,retry pressure,49,36,12,27,213,ship,edge,drag-penalty,drop-slack
m063,g063,route drift,58,10,46,49,190,watch,recovery,confidence-floor,raise-drag
m064,g064,socket risk,92,29,12,51,383,ship,negative,lane-boundary,lower-confidence
m065,g065,packet span,77,41,42,33,254,ship,baseline,monotonic-signal,raise-signal
m066,g066,retry pressure,60,3,17,65,279,ship,edge,drag-penalty,drop-slack
m067,g067,route drift,103,73,13,86,528,ship,recovery,confidence-floor,raise-drag
m068,g068,socket risk,84,70,23,88,452,ship,negative,lane-boundary,lower-confidence
m069,g069,packet span,43,71,12,70,316,ship,baseline,monotonic-signal,raise-signal
m070,g070,retry pressure,57,63,8,59,336,ship,edge,drag-penalty,drop-slack
m071,g071,route drift,72,8,14,101,398,ship,recovery,confidence-floor,raise-drag
m072,g072,socket risk,83,48,8,27,335,ship,negative,lane-boundary,lower-confidence
m073,g073,packet span,101,35,31,57,390,ship,baseline,monotonic-signal,raise-signal
m074,g074,retry pressure,100,20,44,70,372,ship,edge,drag-penalty,drop-slack
m075,g075,route drift,107,32,38,81,439,ship,recovery,confidence-floor,raise-drag
m076,g076,socket risk,114,35,5,35,437,ship,negative,lane-boundary,lower-confidence
m077,g077,packet span,42,74,15,36,242,ship,baseline,monotonic-signal,raise-signal
m078,g078,retry pressure,84,50,42,78,374,ship,edge,drag-penalty,drop-slack
m079,g079,route drift,69,22,43,104,351,ship,recovery,confidence-floor,raise-drag
m080,g080,socket risk,109,40,35,65,427,ship,negative,lane-boundary,lower-confidence
m081,g081,packet span,98,16,36,26,290,ship,baseline,monotonic-signal,raise-signal
m082,g082,retry pressure,38,31,25,48,191,watch,edge,drag-penalty,drop-slack
m083,g083,route drift,60,70,20,63,336,ship,recovery,confidence-floor,raise-drag
m084,g084,socket risk,75,74,29,19,279,ship,negative,lane-boundary,lower-confidence
m085,g085,packet span,51,8,39,64,211,ship,baseline,monotonic-signal,raise-signal
m086,g086,retry pressure,73,37,24,85,378,ship,edge,drag-penalty,drop-slack
m087,g087,route drift,92,35,46,100,419,ship,recovery,confidence-floor,raise-drag
m088,g088,socket risk,105,66,27,56,439,ship,negative,lane-boundary,lower-confidence
m089,g089,packet span,124,14,44,58,414,ship,baseline,monotonic-signal,raise-signal
m090,g090,retry pressure,35,50,33,100,289,ship,edge,drag-penalty,drop-slack
m091,g091,route drift,87,52,15,39,361,ship,recovery,confidence-floor,raise-drag
m092,g092,socket risk,116,15,39,43,371,ship,negative,lane-boundary,lower-confidence
m093,g093,packet span,99,34,35,69,399,ship,baseline,monotonic-signal,raise-signal
m094,g094,retry pressure,99,35,34,80,424,ship,edge,drag-penalty,drop-slack
m095,g095,route drift,45,19,42,47,164,watch,recovery,confidence-floor,raise-drag
m096,g096,socket risk,109,8,16,22,347,ship,negative,lane-boundary,lower-confidence
